"from","to","count"
"1490","1521",84
"1818","1353",77
"299","1659",71
"1894","1053",71
"1268","905",70
"1616","1568",70
"85","1356",69
"522","1477",69
"1315","1702",69
"964","1139",68
"1342","1384",68
"1941","1353",68
"1113","1735",67
"1566","1484",66
"762","1747",65
"1573","1786",65
"1855","1568",65
"1255","1128",64
"1358","1096",64
"1621","1440",64
"508","917",64
"671","1479",64
"831","995",63
"1780","1127",63
"1008","785",62
"331","1446",62
"1856","1169",62
"1695","1128",61
"172","1735",61
"258","1226",61
"376","1379",61
"627","1351",61
"656","1664",61
"684","1308",61
"804","1168",61
"1386","1487",61
"1400","1654",61
"1735","1053",60
"343","1348",60
"551","1053",60
"862","1917",60
"1021","1217",60
"1193","1490",60
"1895","1619",60
"1489","1487",59
"173","1169",59
"377","1446",59
"718","920",59
"1422","1695",59
"1658","1477",59
"1683","1434",59
"1750","1226",59
"1867","1568",59
"920","1788",58
"1487","1445",58
"1534","1354",58
"520","1139",58
"848","1255",58
"950","1477",58
"1734","1615",58
"1488","1955",57
"717","1619",57
"1173","789",57
"1574","789",57
"1788","990",56
"640","1784",56
"675","1471",56
"760","1618",56
"787","1051",56
"962","1955",56
"1402","1751",56
"1679","1526",56
"1792","1784",56
"1893","1379",56
"213","1122",55
"344","1740",55
"687","1789",55
"766","785",55
"788","1139",55
"908","1356",55
"1533","1781",55
"1571","1379",55
"1622","1354",55
"1619","1006",54
"171","1786",54
"714","1700",54
"732","1490",54
"759","1269",54
"833","1489",54
"906","1661",54
"1067","1080",54
"1114","1053",54
"1401","1122",54
"1819","1789",54
"1479","1652",53
"1782","905",53
"552","1700",53
"834","1788",53
"867","1529",53
"1039","1618",53
"1211","1784",53
"1265","1661",53
"1271","1615",53
"1506","1832",53
"1569","1869",53
"1572","1781",53
"1096","1526",52
"1527","1169",52
"1618","1653",52
"524","1702",52
"655","1122",52
"677","1740",52
"678","1053",52
"1022","1700",52
"1314","1621",52
"1853","1008",52
"1267","1446",51
"128","1127",51
"509","1621",51
"591","1789",51
"726","1490",51
"790","1659",51
"849","789",51
"1183","1618",51
"1443","995",51
"1478","1354",51
"1954","1789",51
"1789","1832",50
"1828","1568",50
"374","1619",50
"643","1471",50
"685","1379",50
"936","1736",50
"1007","1479",50
"1024","1297",50
"1158","875",50
"1241","1479",50
"1266","1254",50
"1438","1661",50
"1482","1128",50
"1613","990",50
"1614","1751",50
"1687","1832",50
"1777","1339",50
"1912","1751",50
"289","1257",49
"300","1836",49
"695","905",49
"729","1168",49
"820","1434",49
"1029","920",49
"1115","1051",49
"1329","1526",49
"1808","1875",49
"1851","1825",49
"864","1652",48
"1169","864",48
"1440","1751",48
"1446","1654",48
"257","1489",48
"288","1659",48
"594","917",48
"595","1782",48
"628","1531",48
"780","920",48
"949","1869",48
"1072","1566",48
"1125","1828",48
"1309","1665",48
"1334","1568",48
"1359","1217",48
"1383","1168",48
"1523","1526",48
"1524","1128",48
"1575","1358",48
"1578","1828",48
"1445","1169",47
"1128","1348",47
"1379","1353",47
"1480","1786",47
"1615","1379",47
"1955","1782",47
"215","1621",47
"375","1379",47
"585","1269",47
"761","1257",47
"1123","1531",47
"1260","1212",47
"1528","1735",47
"1617","1224",47
"1680","1702",47
"789","1139",46
"1434","1379",46
"373","1255",46
"550","1127",46
"715","1526",46
"734","1702",46
"805","1379",46
"981","1212",46
"1036","1828",46
"1116","917",46
"1270","1618",46
"1439","1782",46
"1577","1652",46
"819","1297",45
"1254","1781",45
"1781","1652",45
"292","1434",45
"720","819",45
"776","1308",45
"846","1521",45
"1256","1653",45
"1567","1661",45
"1773","1534",45
"1212","1781",44
"561","1694",44
"599","990",44
"638","1566",44
"688","1735",44
"719","1917",44
"817","1751",44
"821","1781",44
"907","1527",44
"1262","1308",44
"1289","1917",44
"1330","785",44
"1378","1217",44
"1486","1694",44
"1944","1053",44
"420","1269",43
"421","1348",43
"865","1661",43
"902","1619",43
"1069","1356",43
"1154","1534",43
"1159","1568",43
"1209","1254",43
"1236","1122",43
"1245","1338",43
"1399","789",43
"1463","1479",43
"1468","1784",43
"1530","789",43
"1850","1736",43
"1862","1051",43
"1899","1488",43
"1900","1652",43
"1940","1128",43
"1981","1267",43
"995","1740",42
"1351","1212",42
"1703","1828",42
"861","1703",42
"1031","1875",42
"1172","1490",42
"1244","920",42
"1288","1568",42
"1442","1740",42
"1635","1664",42
"1849","995",42
"1903","1257",42
"1736","1122",41
"1747","1379",41
"464","1917",41
"521","1127",41
"553","1621",41
"604","1267",41
"631","1527",41
"654","1257",41
"770","1700",41
"832","1080",41
"853","1488",41
"935","1127",41
"1294","1212",41
"1306","990",41
"1337","1425",41
"1447","1255",41
"1620","1269",41
"1477","1269",40
"84","1338",40
"517","1353",40
"518","1217",40
"672","1428",40
"716","1139",40
"739","1269",40
"745","1529",40
"765","1736",40
"937","1836",40
"983","1702",40
"1083","1869",40
"1157","1425",40
"1171","905",40
"1181","1791",40
"1284","1788",40
"1312","1619",40
"1387","990",40
"1395","785",40
"1507","1267",40
"1532","1735",40
"1692","1665",40
"1737","1751",40
"1738","1267",40
"1746","1122",40
"1778","917",40
"1384","1351",39
"1694","1788",39
"1832","1356",39
"506","1267",39
"565","1618",39
"777","1480",39
"800","917",39
"822","1226",39
"989","1051",39
"1026","1008",39
"1349","1488",39
"1576","1255",39
"1592","995",39
"1663","819",39
"1708","1445",39
"1739","1736",39
"1911","1212",39
"1568","905",38
"905","1423",38
"1354","1257",38
"1356","1269",38
"1664","1484",38
"129","1379",38
"216","990",38
"332","1694",38
"480","1702",38
"568","785",38
"584","1659",38
"642","1477",38
"673","995",38
