way,node1,node2,count
https://www.openstreetmap.org/way/678370026,https://www.openstreetmap.org/node/583312839,https://www.openstreetmap.org/node/3841816504,1
https://www.openstreetmap.org/way/71524999,https://www.openstreetmap.org/node/6758424269,https://www.openstreetmap.org/node/205331481,3
https://www.openstreetmap.org/way/1049574689,https://www.openstreetmap.org/node/1120362093,https://www.openstreetmap.org/node/6382272419,5
https://www.openstreetmap.org/way/372752344,https://www.openstreetmap.org/node/9289456762,https://www.openstreetmap.org/node/9289456763,3
https://www.openstreetmap.org/way/153978452,https://www.openstreetmap.org/node/256329260,https://www.openstreetmap.org/node/256329794,3
https://www.openstreetmap.org/way/155475777,https://www.openstreetmap.org/node/2069651084,https://www.openstreetmap.org/node/4173177625,2
https://www.openstreetmap.org/way/23920131,https://www.openstreetmap.org/node/2493829709,https://www.openstreetmap.org/node/7246372667,2
https://www.openstreetmap.org/way/23695676,https://www.openstreetmap.org/node/256582925,https://www.openstreetmap.org/node/256582939,1
https://www.openstreetmap.org/way/1068267321,https://www.openstreetmap.org/node/9822823557,https://www.openstreetmap.org/node/9806809984,10
https://www.openstreetmap.org/way/686377386,https://www.openstreetmap.org/node/6433471730,https://www.openstreetmap.org/node/6433471731,1
https://www.openstreetmap.org/way/893108401,https://www.openstreetmap.org/node/476503059,https://www.openstreetmap.org/node/8300695305,1
https://www.openstreetmap.org/way/160342440,https://www.openstreetmap.org/node/1723897301,https://www.openstreetmap.org/node/593795364,1
https://www.openstreetmap.org/way/37264284,https://www.openstreetmap.org/node/434149381,https://www.openstreetmap.org/node/434149394,2
https://www.openstreetmap.org/way/243584492,https://www.openstreetmap.org/node/2509724059,https://www.openstreetmap.org/node/8223126557,2
https://www.openstreetmap.org/way/35587396,https://www.openstreetmap.org/node/2242514675,https://www.openstreetmap.org/node/2242514872,4
https://www.openstreetmap.org/way/724551636,https://www.openstreetmap.org/node/6795124573,https://www.openstreetmap.org/node/6795124574,1
https://www.openstreetmap.org/way/1095221037,https://www.openstreetmap.org/node/4255554201,https://www.openstreetmap.org/node/976008168,44
https://www.openstreetmap.org/way/391595784,https://www.openstreetmap.org/node/3948171402,https://www.openstreetmap.org/node/5151763665,2
https://www.openstreetmap.org/way/37766073,https://www.openstreetmap.org/node/3254678766,https://www.openstreetmap.org/node/443006838,3
https://www.openstreetmap.org/way/1102993154,https://www.openstreetmap.org/node/10091162406,https://www.openstreetmap.org/node/10091162387,1
https://www.openstreetmap.org/way/111660651,https://www.openstreetmap.org/node/1271595441,https://www.openstreetmap.org/node/1271598348,1
https://www.openstreetmap.org/way/655277179,https://www.openstreetmap.org/node/9556874697,https://www.openstreetmap.org/node/589527358,5
https://www.openstreetmap.org/way/25480279,https://www.openstreetmap.org/node/277649630,https://www.openstreetmap.org/node/277649633,1
https://www.openstreetmap.org/way/8145210,https://www.openstreetmap.org/node/8069639924,https://www.openstreetmap.org/node/8069639923,1
https://www.openstreetmap.org/way/935618446,https://www.openstreetmap.org/node/1305624567,https://www.openstreetmap.org/node/8669967444,3
https://www.openstreetmap.org/way/940597408,https://www.openstreetmap.org/node/8711082619,https://www.openstreetmap.org/node/2044440086,1
https://www.openstreetmap.org/way/41204125,https://www.openstreetmap.org/node/1515957883,https://www.openstreetmap.org/node/503423690,50
